,CantonCode,MunicipalityCode
1351,TI,5010
1352,LU,1128
1353,BE,717
1354,ZH,55
1355,AG,4077
1356,ZH,244
1357,SG,3213
1358,AG,4169
1359,TG,4441
1360,BE,394
1361,SO,2530
1362,ZH,100
1363,VD,5924
1364,VD,5873
1365,AR,3031
1366,SG,3201
1367,BE,494
1368,VD,5486
1369,SO,2476
1370,BE,411
1371,TG,4511
1372,ZH,93
1373,ZH,4
1374,VD,5911
1375,GR,3822
1376,SO,2404
1377,BE,742
1378,AG,4163
1379,TI,5257
1380,BE,564
1381,TG,4643
1382,FR,2299
1383,GR,3946
1384,BE,662
1385,JU,6774
1386,ZH,111
1387,BL,2764
1388,FR,2045
1389,VS,6025
1390,TI,5162
1391,BL,2886
1392,AG,4013
1393,SG,3271
1394,SG,3360
1395,LU,1055
1396,ZH,159
1397,ZH,161
1398,AR,3022
1399,ZH,22
1400,VD,5729
1401,TG,4911
1402,VD,5651
1403,BL,2885
1404,ZH,158
1405,BE,567
1406,AG,4223
1407,SZ,1341
1408,VD,5402
1409,SG,3251
1410,FR,2175
1411,VS,6153
1412,AG,4065
1413,VS,6135
1414,VD,5471
1415,TG,4851
1416,VS,6205
1417,VD,5705
1418,LU,1084
1419,BL,2887
1420,TG,4711
1421,BL,2793
1422,SO,2516
1423,SO,2618
1424,BE,333
1425,VD,5581
1426,AG,4048
1427,VS,6265
1428,SO,2480
1429,VD,5720
1430,AG,4279
1431,FR,2284
1432,NW,1504
1433,ZH,89
1434,AG,4136
1435,FR,2258
1436,SO,2622
1437,VD,5434
1438,LU,1139
1439,AG,4281
1440,FR,2131
1441,FR,2149
1442,AG,4264
1443,GR,3851
1444,TG,4471
1445,SO,2548
1446,VD,5853
1447,SO,2576
1448,TG,4776
1449,BE,543
1450,ZH,113
1451,VD,5622
1452,TG,4891
1453,ZH,72
1454,BE,444
1455,FR,2233
1456,GE,6645
1457,NE,6435
1458,GR,3506
1459,AG,4231
1460,ZH,24
1461,GR,3871
1462,FR,2206
1463,AG,4031
1464,TG,4451
1465,AG,4185
1466,AG,4005
1467,AG,4258
1468,GR,3712
1469,VD,5587
1470,GE,6606
1471,AG,4049
1472,FR,2054
1473,AR,3006
1474,AG,4236
1475,VD,5746
1476,UR,1213
1477,TI,5254
1478,ZH,115
1479,SG,3253
1480,ZH,54
1481,JU,6757
1482,SZ,1349
1483,BE,623
1484,ZH,156
1485,VD,5414
1486,LU,1039
1487,LU,1062
1488,GE,6617
1489,BL,2788
1490,SH,2937
1491,BE,387
1492,BE,352
1493,AG,4003
1494,BL,2766
1495,SG,3233
1496,VD,5521
1497,SG,3311
1498,AG,4285
1499,BE,982
1500,VD,5764
1501,SO,2526
1502,TI,5249
1503,SZ,1311
1504,SG,3291
1505,VD,5498
1506,VD,5884
1507,ZH,194
1508,ZH,196
1509,ZG,1709
1510,BE,766
1511,BE,868
1512,GR,3732
1513,BE,988
1514,AG,4095
1515,VS,6119
1516,SO,2554
1517,ZH,135
1518,VD,5604
1519,TI,5003
1520,ZH,118
1521,ZH,152
1522,BE,907
1523,SG,3395
1524,NE,6404
